Ereco,mask,side
0.001090106201171880,True,0
0.074516093750,True,
0.004919230041503910,True,
0.001293030090332030,True,
0.001595579986572270,True,
0.035295019531250,True,
0.001054560775756840,True,
0.03261309082031250,True,
0.000924587783813477,True,
0.001222655792236330,True,
0.000993302001953125,True,
0.048138769531250,True,
0.0252344531250,True,
0.006089970092773440,True,
0.002756810302734370,True,
0.00205129074096680,True,
0.007333040161132810,True,
0.01584055541992190,True,
0.001121064224243160,True,
0.073393183593750,True,
0.02039536010742190,True,
0.00180131515502930,True,
0.006919819946289060,True,
0.001877925567626950,True,
0.06670923339843750,True,
0.02988676025390620,True,
0.002521369934082030,True,
0.001191788024902340,True,
0.001311890869140630,True,
0.03416009033203120,True,
0.01568885009765630,True,
0.01602548950195310,True,
0.00486083496093750,True,
0.0613042285156250,True,
0.002205899963378910,True,
0.000219472999572754,True,
0.000838226089477539,True,
0.002576261901855470,True,
0.004286086120605470,True,
0.00223691085815430,True,
0.006236558227539060,True,
0.006627410278320310,True,
0.0137814746093750,True,
0.01480688354492190,True,
0.0366506542968750,True,
0.005230404052734379,True,
0.02124802001953120,True,
0.01444590576171870,True,
0.006783419799804690,True,
0.01501588989257810,True,
0.005472066040039060,True,
0.004493613891601560,True,
0.005792402954101560,True,
0.001994759979248050,True,
0.0250771093750,True,
0.008795073852539061,True,
0.04276185058593750,True,
0.0679487792968750,True,
0.02586139892578120,True,
0.01517498413085940,True,
0.01148774658203130,True,
0.04365356933593750,True,
0.0210910839843750,True,
0.001565593872070310,True,
0.000669293365478516,True,
0.002838760070800780,True,
0.007170170288085940,True,
0.001299320068359380,True,
0.001163860015869140,True,
0.001074760818481450,True,
0.02060113037109370,True,
0.074505058593750,True,
0.002649410095214840,True,
0.00145310379028320,True,
0.02045169555664060,True,
0.002136132049560550,True,
0.002889700012207030,True,
0.000985489807128906,True,
0.001508869934082030,True,
0.000776579971313477,True,
0.003447810058593750,True,
0.018802089843750,True,
0.005622698974609380,True,
0.00352937988281250,True,
0.01709616455078130,True,
0.01912395751953130,True,
0.003676919860839840,True,
0.000837746810913086,True,
0.001269319992065430,True,
0.001446640014648440,True,
0.02592760009765620,True,
0.000922510986328125,True,
0.01707494873046880,True,
0.01651536621093750,True,
0.001441230926513670,True,
0.02504628662109380,True,
0.01732265014648440,True,
0.005135250244140631,True,
0.05017048339843750,True,
0.002726010131835940,True,
0.064870839843750,True,
0.02525843994140620,True,
0.001187944183349610,True,
0.02521420410156250,True,
0.01085176391601560,True,
0.006051370239257810,True,
0.007606530151367191,True,
0.042205800781250,True,
0.0564051464843750,True,
0.02142994873046870,True,
0.001056170806884770,True,
0.001139469985961910,True,
0.008515485229492191,True,
0.02917365478515620,True,
0.008722750244140631,True,
0.001919779968261720,True,
0.009495560913085940,True,
0.000770149993896484,True,
0.01048714965820310,True,
0.003663386840820310,True,
0.003169330139160160,True,
0.001991239929199220,True,
0.01390223022460940,True,
0.06782339355468750,True,
0.000699992065429688,True,
0.002612153015136720,True,
0.0818694042968750,True,
0.001564700775146480,True,
0.002441894989013670,True,
0.000941349792480469,True,
0.01752317626953130,True,
0.007387935180664060,True,
0.000903390426635742,True,
0.01426676025390630,True,
0.01386669799804690,True,
0.02689882324218750,True,
0.03152320068359370,True,
0.001609940795898440,True,
0.02700051025390620,True,
0.005198839721679690,True,
0.0734597167968750,True,
0.07077146972656251,True,
