Ereco,mask,side
0.000109010620117188,True,0
0.007451609375,True,
0.000491923004150391,True,
0.000129303009033203,True,
0.000159557998657227,True,
0.003529501953125,True,
0.000105456077575684,True,
0.00326130908203125,True,
0.000092458778381348,True,
0.000122265579223633,True,
0.000099330200195313,True,
0.004813876953125,True,
0.0025234453125,True,
0.000608997009277344,True,
0.000275681030273437,True,
0.00020512907409668,True,
0.000733304016113281,True,
0.00158405554199219,True,
0.000112106422424316,True,
0.007339318359375,True,
0.00203953601074219,True,
0.00018013151550293,True,
0.000691981994628906,True,
0.000187792556762695,True,
0.00667092333984375,True,
0.00298867602539062,True,
0.000252136993408203,True,
0.000119178802490234,True,
0.000131189086914063,True,
0.00341600903320312,True,
0.00156888500976563,True,
0.00160254895019531,True,
0.00048608349609375,True,
0.0061304228515625,True,
0.000220589996337891,True,
0.000021947299957275,True,
0.000083822608947754,True,
0.000257626190185547,True,
0.000428608612060547,True,
0.00022369108581543,True,
0.000623655822753906,True,
0.000662741027832031,True,
0.0013781474609375,True,
0.00148068835449219,True,
0.0036650654296875,True,
0.000523040405273438,True,
0.00212480200195312,True,
0.00144459057617187,True,
0.000678341979980469,True,
0.00150158898925781,True,
0.000547206604003906,True,
0.000449361389160156,True,
0.000579240295410156,True,
0.000199475997924805,True,
0.0025077109375,True,
0.000879507385253906,True,
0.00427618505859375,True,
0.0067948779296875,True,
0.00258613989257812,True,
0.00151749841308594,True,
0.00114877465820313,True,
0.00436535693359375,True,
0.0021091083984375,True,
0.000156559387207031,True,
0.000066929336547852,True,
0.000283876007080078,True,
0.000717017028808594,True,
0.000129932006835938,True,
0.000116386001586914,True,
0.000107476081848145,True,
0.00206011303710937,True,
0.007450505859375,True,
0.000264941009521484,True,
0.00014531037902832,True,
0.00204516955566406,True,
0.000213613204956055,True,
0.000288970001220703,True,
0.000098548980712891,True,
0.000150886993408203,True,
0.000077657997131348,True,
0.000344781005859375,True,
0.001880208984375,True,
0.000562269897460938,True,
0.00035293798828125,True,
0.00170961645507813,True,
0.00191239575195313,True,
0.000367691986083984,True,
0.000083774681091309,True,
0.000126931999206543,True,
0.000144664001464844,True,
0.00259276000976562,True,
0.000092251098632813,True,
0.00170749487304688,True,
0.00165153662109375,True,
0.000144123092651367,True,
0.00250462866210938,True,
0.00173226501464844,True,
0.000513525024414063,True,
0.00501704833984375,True,
0.000272601013183594,True,
0.006487083984375,True,
0.00252584399414062,True,
0.000118794418334961,True,
0.00252142041015625,True,
0.00108517639160156,True,
0.000605137023925781,True,
0.000760653015136719,True,
0.004220580078125,True,
0.0056405146484375,True,
0.00214299487304687,True,
0.000105617080688477,True,
0.000113946998596191,True,
0.000851548522949219,True,
0.00291736547851562,True,
0.000872275024414063,True,
0.000191977996826172,True,
0.000949556091308594,True,
0.000077014999389648,True,
0.00104871496582031,True,
0.000366338684082031,True,
0.000316933013916016,True,
0.000199123992919922,True,
0.00139022302246094,True,
0.00678233935546875,True,
0.000069999206542969,True,
0.000261215301513672,True,
0.0081869404296875,True,
0.000156470077514648,True,
0.000244189498901367,True,
0.000094134979248047,True,
0.00175231762695313,True,
0.000738793518066406,True,
0.000090339042663574,True,
0.00142667602539063,True,
0.00138666979980469,True,
0.00268988232421875,True,
0.00315232006835937,True,
0.000160994079589844,True,
0.00270005102539062,True,
0.000519883972167969,True,
0.0073459716796875,True,
0.00707714697265625,True,
0.000906928649902344,True,
0.000097869583129883,True,
0.000543853759765625,True,
0.00232478759765625,True,
0.000183595993041992,True,
0.000097953018188477,True,
0.000192860198974609,True,
0.00056139501953125,True,
0.000095465713500977,True,
0.000102038078308105,True,
0.00152343505859375,True,
0.000119692428588867,True,
0.000086879837036133,True,
0.00218540087890625,True,
0.000003390510082245,True,
0.00179947705078125,True,
0.000218428695678711,True,
0.00399593334960938,True,
0.000521505004882813,True,
0.000155190994262695,True,
0.00249793432617188,True,
0.000179166000366211,True,
0.00173753796386719,True,
0.000149712417602539,True,
0.004722052734375,True,
0.000487496002197266,True,
0.00432464501953125,True,
0.000067521301269531,True,
0.00299172412109375,True,
0.00525932373046875,True,
0.00553290087890625,True,
0.00113327294921875,True,
0.000113194000244141,True,
0.0016751201171875,True,
0.0014025419921875,True,
0.000175748992919922,True,
0.00379152294921875,True,
0.001088166015625,True,
0.000357309997558594,True,
0.000259304992675781,True,
0.00204228491210938,True,
0.00688509521484375,True,
0.000607579895019531,True,
0.000074748481750488,True,
0.000159121002197266,True,
0.000739451171875,True,
0.000156705993652344,True,
0.00115531420898438,True,
0.0050751767578125,True,
0.000475069213867188,True,
0.00569982177734375,True,
0.000165039993286133,True,
0.000404305511474609,True,
0.00359227197265625,True,
0.00262892504882812,True,
0.000178589004516602,True,
0.000116068008422852,True,
0.00219164453125,True,
0.000287665985107422,True,
0.000734443969726563,True,
0.000227479827880859,True,
0.00386890771484375,True,
0.000066272392272949,True,
0.000708564392089844,True,
0.00407356005859375,True,
0.0017091240234375,True,
0.00008518907928467,True,
0.0063795341796875,True,
0.000162810913085938,True,
0.000143377059936523,True,
0.000351892913818359,True,
0.000544281799316406,True,
0.00304103393554688,True,
0.000088279281616211,True,
0.000296644195556641,True,
0.000663151977539063,True,
0.00428609521484375,True,
0.00010012117767334,True,
0.000184001403808594,True,
0.00155547705078125,True,
0.00150127893066406,True,
0.00228467041015625,True,
0.00178663232421875,True,
0.000182838088989258,True,
0.0026072451171875,True,
0.000162744842529297,True,
0.000061840099334717,True,
0.000878892211914063,True,
0.00012395231628418,True,
0.000626140014648438,True,
0.000140111419677734,True,
0.000512140014648438,True,
0.002191986328125,True,
0.00011311824798584,True,
0.000626781616210937,True,
0.000255251998901367,True,
0.0017438935546875,True,
0.00245626953125,True,
0.00120704699707031,True,
0.00148387048339844,True,
0.000088158477783203,True,
0.000125744003295898,True,
0.000097272323608398,True,
0.000258240081787109,True,
0.00172951098632813,True,
0.00198563513183594,True,
0.0013681669921875,True,
0.00133728918457031,True,
0.000235837997436523,True,
0.000110006896972656,True,
0.000530021423339844,True,
0.000609466064453125,True,
0.00034422021484375,True,
0.007767373046875,True,
0.000160820999145508,True,
0.000167478179931641,True,
0.000078950698852539,True,
0.000856065002441406,True,
0.000059969398498535,True,
0.000026498600006103,True,
